TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
21,67,47,76,38,p,20,-9,True,False,False,7.66538214684,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.716353178,False,True,False,76,27092019,59.9477460481,PreComm_Task,700,
22,52,40,49,43,g,12,3,True,False,False,7.63153290749,True,False,False,False,0,0,0.9,0.21,True,False,False,17.715914011,False,True,False,0,False,False,False,49,27092019,59.9477460481,PreComm_Task,700,
23,38,18,35,21,m,20,3,True,False,False,7.66545701027,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.7165560722,False,True,False,35,27092019,59.9477460481,PreComm_Task,700,
24,47,59,60,46,k,12,13,False,False,True,7.63232898712,True,False,False,False,0,0,1.2,0.23,True,False,False,18.0332698822,False,True,False,0,False,False,False,60,27092019,59.9477460481,PreComm_Task,700,
1,23,35,32,26,i,12,9,False,False,True,7.63128399849,True,False,False,False,0,0,0.3,0.25,True,False,False,17.1494729519,False,True,False,0,False,False,False,32,27092019,59.9477460481,PreComm_Task,700,
2,47,59,34,72,l,12,-13,False,True,False,7.66595888138,True,False,False,True,0.237577915192,16.4374399185,0.6,0.27,False,False,True,0,False,False,False,0,False,False,False,72,27092019,59.9477460481,PreComm_Task,700,
3,60,56,51,65,c,4,9,False,False,True,7.68266010284,True,False,False,True,0.223520040512,16.939620018,1.1,0.25,False,False,True,0,False,False,False,0,False,False,False,65,27092019,59.9477460481,PreComm_Task,700,
4,25,37,38,24,k,12,13,False,False,True,7.66572403908,True,False,False,True,0.215148925781,16.6153879166,0.8,0.23,False,True,False,0,False,False,False,0,False,False,False,38,27092019,59.9477460481,PreComm_Task,700,
5,61,81,64,78,m,20,3,False,True,False,7.6484811306,True,False,False,False,0,0,1.2,0.21,True,False,False,18.0325841904,False,True,False,0,False,False,False,64,27092019,59.9477460481,PreComm_Task,700,
6,51,39,60,30,j,12,-9,True,False,False,7.63305807114,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6842911243,False,True,False,60,27092019,59.9477460481,PreComm_Task,700,
7,79,59,92,46,r,20,-13,True,False,False,7.64879584312,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6997098923,False,True,False,92,27092019,59.9477460481,PreComm_Task,700,
8,33,45,30,48,h,12,-3,False,True,False,7.63076591492,True,False,False,True,0.229620933533,16.2952098846,0.5,0.23,False,False,True,0,False,False,False,0,False,False,False,48,27092019,59.9477460481,PreComm_Task,700,
9,78,58,65,71,q,20,13,False,False,True,7.66503691673,False,True,False,0,0,0,0,0.21,0,False,False,0,False,False,False,10.7164809704,False,True,False,65,27092019,59.9477460481,PreComm_Task,700,
10,61,65,48,78,f,4,-13,False,True,False,7.63276410103,True,False,False,False,0,0,0.9,0.21,True,False,False,17.7170581818,False,False,True,0,False,False,False,78,27092019,59.9477460481,PreComm_Task,700,
