TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant
26,67,79,58,88,j2,0,-9,FALSE,TRUE,FALSE,7.665601969,TRUE,FALSE,FALSE,TRUE,0.215106964,16.81637502,1,0.25,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,88,4062019,60.16556524,PreComm_Task,L1_A
27,54,58,63,49,c1,0,9,FALSE,FALSE,TRUE,7.649549961,TRUE,FALSE,FALSE,FALSE,0,0,0.4,0.2,TRUE,FALSE,FALSE,17.23546791,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,63,4062019,60.16556524,PreComm_Task,L1_A
28,27,23,24,26,a4,0,3,FALSE,FALSE,TRUE,7.682837963,TRUE,FALSE,FALSE,TRUE,0.218024015,16.93352079,1.1,0.25,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,26,4062019,60.16556524,PreComm_Task,L1_A
29,28,16,37,7,j1,0,-9,TRUE,FALSE,FALSE,7.616460085,TRUE,FALSE,FALSE,FALSE,0,0,0.5,0.2,TRUE,FALSE,FALSE,17.30144405,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,7,4062019,60.16556524,PreComm_Task,L1_A
30,20,32,7,45,l4,0,-13,FALSE,TRUE,FALSE,7.648819923,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70029593,FALSE,TRUE,FALSE,7,4062019,60.16556524,PreComm_Task,L1_A
31,34,46,43,37,i3,0,9,FALSE,FALSE,TRUE,7.665179968,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71533513,TRUE,FALSE,FALSE,37,4062019,60.16556524,PreComm_Task,L1_A
32,64,68,61,71,b4,0,-3,FALSE,TRUE,FALSE,7.699050903,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.74943495,TRUE,FALSE,FALSE,71,4062019,60.16556524,PreComm_Task,L1_A
33,22,34,19,37,h4,0,-3,FALSE,TRUE,FALSE,7.632398129,TRUE,FALSE,FALSE,TRUE,0.215963125,16.78236008,1,0.25,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,37,4062019,60.16556524,PreComm_Task,L1_A
34,41,37,50,28,d4,0,-9,TRUE,FALSE,FALSE,7.650285959,TRUE,FALSE,FALSE,FALSE,0,0,0.8,0.2,TRUE,FALSE,FALSE,17.6350739,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,28,4062019,60.16556524,PreComm_Task,L1_A
35,28,16,19,25,i1,0,9,FALSE,FALSE,TRUE,7.633394003,FALSE,FALSE,TRUE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,4062019,60.16556524,PreComm_Task,L1_A
